States,Latitude,Longitude,Year,Sex_Edu_Mand,HIV_STD_Edu_Mand,HR_Edu_Mand,Sex_Edu_AA_S,Sex_Edu_AA_HIV,Sex_Edu_CA_S,Sex_Edu_CA_HIV,Sex_Edu_MA_S,Sex_Edu_MA_HIV,Sex_Edu_PR,Abstinance_S,Abstinence_C,Contraceptive_C,Promote_Marriage,Sexuality,Neg_Teen_Sex,LS_Coersion,LS_RS,LS_Consent,LS_DM,LS_VP,LS_FC,HIV_Condoms_Contraception,HIV_Abstinence_S,HIV_Abstinence_C,Parent_Notif_S,Parent_Notif_HIV
District of Columbia,38.897438,-77.026817,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,27.766279,-81.686783,2002,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Georgia,33.040619,-83.643074,2002,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Opt-out,Opt-out
Hawaii,21.094318,-157.498337,2002,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA
Idaho,44.240459,-114.478828,2002,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Illinois,40.349457,-88.986137,2002,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
Indiana,39.849426,-86.258278,2002,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA
Iowa,42.011539,-93.210526,2002,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kansas,38.5266,-96.726486,2002,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,Opt-out,Opt-out
Kentucky,37.66814,-84.670067,2002,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA
Louisiana,31.169546,-91.867805,2002,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Opt-out,Opt-out
Maine,44.693947,-69.381927,2002,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,Opt-out,Opt-out
